title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Convenience store for sale,https://www.rightmove.co.uk/properties/128647334#/?channel=COM_BUY,"Off License & Convenience, Meanwood, West Yorkshire","FULLY LICENSED CONVENIENCE STORE Busy Main Road Site in this Densely Populated Residential Area
Sensibly Priced Due to Retirement
Professionally Fitted Store
VIEW EARLY, THIS WILL GO. HIGHLY RECOMMENDED
Weekly Turnover £18,000 to £19,000 Annual Lottery Commission of £7,500
REF 587398. Busine...",179950.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/124979429/153122_587398_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/128647334#/?channel=COM_BUY,"Venue Styling, North of England","WEDDING AND EVENT HIRE BUSINESS (EQUIPMENT AND FURNITURE) Showing Adjusted Net Profits of £103,940
Infinite Scope to Expand and Grow
Long Standing Relationships with Wedding Venues, Party Planners etc
Very Easily Re-Locatable if Required Annual Turnover £208,581
REF 588417. EPC Exempt.
Busines...",175000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/125207876/153122_588417_IMG_00_0002_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Retail property (high street) for sale,https://www.rightmove.co.uk/properties/127829087#/?channel=COM_BUY,"Pets, Supplies & Services, Armley, West Yorkshire","RAW DOG FOOD RETAILER Busy Main Road with Easy Parking A Very Profitable Concern with Unlimited Potential
Secure Lease with Low Overheads - An Excellent Buy
VIEWING IS HIGHLY RECOMMENDED HERE
Weekly Turnover £6,000
REF 586604. EPC Band C.
Business £175,000
West Yorkshire
",175000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/80152152/153122_586604_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/127829087#/?channel=COM_BUY,"Pets, Supplies & Services, Online Business, Online Business","BIRD FOOD RETAILERS (PREDOMINANTLY ONLINE / MAIL ORDER) Operated in Approximately 20 Hours per Week
Adjusted Net Profits of £60,791
Can Be Run from Anywhere in the UK
A Fantastic Way to Earn a Good Living
Weekly Turnover £4,500
REF 588502. EPC Exempt.
Business, Offers Around £159,950
Run from o...",159950.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/126728792/153122_588502_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/128511248#/?channel=COM_BUY,"Pest Control, Yorkshire, Yorkshire","PEST CONTROL SERVICES BUSINESS FOR SALE
Tremendous Reputation Excellent Consistent Client Base
Low Overheads - Adjusted Net Profits in Excess of £77,000
Easily Relocatable Or Run From Home
Annual Turnover £226,310
REF 587338. EPC Exempt.
Business £150,000
Re-locatable",150000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/123924401/153122_587338_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/128511248#/?channel=COM_BUY,"Vacant Unit, Rothwell, West Yorkshire","INDUSTRIAL/COMMERCIAL WORKSHOP SPACE
Outstanding Logistical Location
Suitable For Any Commercial/Industrial Use
Very Realistically Priced Investment
Superbly Kept & Maintained Space
REF 588606
Property £150,000
West Yorkshire ",150000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/128372798/153122_588606_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/128600354#/?channel=COM_BUY,"Guest Houses and B&Bs, West Yorkshire","NARROWBOAT AIRBNB
Rented Out at an Average of £120 per Night at 90% Occupancy
An Exciting Venture into the Staycation Sector
Self-Sufficient Through Solar Panels and Lithium-Ion Batteries
Equipped to the Highest Standard
Annual Rental Income £40,000
REF 587023. Asking Price £149,950
Moored in L...",149950.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/118462700/153122_587023_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Pub for sale,https://www.rightmove.co.uk/properties/128600354#/?channel=COM_BUY,"Restaurants, West Yorkshire","LICENSED RESTAURANT
Leeds Arena & Merrion Centre Footfall
Highly Attractive All Glass Frontage
Sales In Excess OF £15,000 Per Week
Favourable Rent & Lease Terms
Weekly Turnover between £15,000 to £16,000
Business £149,950
REF 588488
Leeds",149950.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/126432701/153122_588488_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Hairdresser / barber shop for sale,https://www.rightmove.co.uk/properties/123661052#/?channel=COM_BUY,"Hair Salons, West Yorkshire","HAIR SALON
Well-Presented Hair Salon
Five Dressing Out Points Beauty Room Let Out at £100 PCM
Weekly Turnover £1,800 to £2,000
REF 586976. EPC Band C.
Business and Property £149,950
Business Only May be Available for £29,950
Leeds
",149950.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/117206543/153122_586976_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/125731802#/?channel=COM_BUY,"Vehicle Sales and Hire, Online Business, Online Business","CAR BUYING COMPARISON WEBSITE
Offered for Sale Due to Pending Retirement
Operated Less than 20 Hours per Week
Bespoke and Fully Automated Website
Current Net Profits of £38,000
Annual Turnover £130,000
REF 588442. EPC Exempt. Business Offers Around £135,950
Run from Home
",135950.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/125731802/153122_588442_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
