title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Commercial property for sale,https://www.rightmove.co.uk/properties/117090839#/?channel=COM_BUY,"West Regent Street, City Centre, Glasgow, G2","Prime Development Opportunity, 55 West Regent Street, Glasgow, G2 2AE33,553 Sq FtFOR SALE",1999995.0,,,"Castle Residential, Paisley",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43025/113862785/43025_P2174_IMG_00_0002_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Commercial property for sale,https://www.rightmove.co.uk/properties/117090839#/?channel=COM_BUY," 30, St Enoch Square, Glasgow City Centre, G14DB","** SALE BY AUCTION - 03 November 2022, Timed Online Auction ** PRIME CITY CENTRE ST ENOCH SQUARE 5,919 Sq.Ft Ground and Basement with substantial frontage. FULL CLASS 3 HOT FOOD Restaurant Consent NOW GRANTED AUG 22....",500000.0,,,"Future Property Auctions, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/127652504/43917_10653237_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Land for sale,https://www.rightmove.co.uk/properties/119480279#/?channel=COM_BUY,"Duke Street, Glasgow","- Next to Forge Shopping Centre - Development Opportunity - Potential for residential, hotel, retail, carehome etc. - 0.55 acres - Currently car parking space - 15min walk to Duke Sreet Station - Offers Invited",,23958,,"Rettie & Co, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67544/108965651/67544_LAD210026_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Commercial property for sale,https://www.rightmove.co.uk/properties/119480279#/?channel=COM_BUY," 368, Dumbarton Road, Boots Investment, Westend, Glasgow, G116RZ","** SALE BY AUCTION - 03 November 2022, Timed Online Auction ** 100% PRIME BOOTS PHARMACY INVESTMENT in super WEST END location with an IMMEDIATE RENTAL INCOME OF Â£37,757 PER ANNUM. 2,615 sq.ft. , Excellent Frontage with high footfall and drive by traffic....",477000.0,,,"Future Property Auctions, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/127829825/43917_10654291_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Land for sale,https://www.rightmove.co.uk/properties/127909778#/?channel=COM_BUY,"Woodlands at Foreside, By Neilston, Glasgow, G78",Attractive area of woodland in a rural yet accessible location close to Neilston on the outskirts of Glasgow. The woodland extends to about 43.98 Ha (108.67 Acres). For sale as a whole or in 3 lots.,440000.0,4733665,,"Galbraith, Stirling",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/27k/26208/126053723/26208_STR220010_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Commercial property for sale,https://www.rightmove.co.uk/properties/127909778#/?channel=COM_BUY," 200, Bath Street, Glasgow City Centre, G24HG","** SALE BY AUCTION - 03 November 2022, Timed Online Auction ** IMMEDIATE INCOME PRODUCING INVESTMENT. 10 City Centre office suites located in impressive B-Listed Townhouse Building in Glasgow City Centre generating immediate rental income of over Â£62,000 p....",360000.0,,,"Future Property Auctions, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/127450238/43917_10652353_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Commercial property for sale,https://www.rightmove.co.uk/properties/128398544#/?channel=COM_BUY," 424, Duke Street, Glasgow, G311PX","** SALE BY AUCTION - 03 November 2022, Timed Online Auction ** 2,812sq ft Prime Corner Unit With Hot Food Potential. Rarely Available Freehold Location. Corner Location. Ground & Basement. No V.A.T. Potential Rent: Â£40,000p.a.",347000.0,,,"Future Property Auctions, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/128181575/43917_10826586_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Commercial property for sale,https://www.rightmove.co.uk/properties/128398544#/?channel=COM_BUY," 1, Barnbeth Road, Cardonald, Glasgow, G535YR","** SALE BY AUCTION - 03 November 2022, Timed Online Auction ** 1.328 Acres with Warehouse, Workshop & Hot Food Unit ( 3 Individual Units). Centre of Densely Populated Glasgow Suburb. Potential Residential Development....",347000.0,,,"Future Property Auctions, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/128142242/43917_10826127_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Plot for sale,https://www.rightmove.co.uk/properties/127743080#/?channel=COM_BUY,"Banks Farm - Lot 2, Milton of Campsie, Glasgow",Banks Farm Lot 2 – Field measuring about 11.9 acres with lapsed planning consent for a residential dwelling in a fantastic location overlooking Kirkintilloch and Glasgow. A caravan with residential planning consent sits on the site. Please read brochure for details on Lots 1 &...,250000.0,,,"Rettie & Co, Rural & Country",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77421/125976182/77421_RUR220305_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Residential development for sale,https://www.rightmove.co.uk/properties/127743080#/?channel=COM_BUY,"Sauchiehall Lane, Glasgow, G2",This property is being sold by public auction pre auction offers will be considered. Please contact Auction House Scotland for further information.,248000.0,,,"Auction House Scotland, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245288/127304903/245288_25338576_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Commercial property for sale,https://www.rightmove.co.uk/properties/84968924#/?channel=COM_BUY," 1149-1151, Cathcart Road, Mount Florida, Glasgow, G429HB","** SALE BY AUCTION - 03 November 2022, Timed Online Auction ** FULL BUILDING 4,961 sq ft - Mixed Portfolio of prominent showroom and e bed residential above above. RENTAL POTENTIAL of Â£50,000p.a. Prime Southside Location....",243000.0,,,"Future Property Auctions, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/127652501/43917_10653220_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Commercial property for sale,https://www.rightmove.co.uk/properties/84968924#/?channel=COM_BUY," 183a, Hope Street, Swing Nightclub, Glasgow City Centre, G22UL","** SALE BY AUCTION - 03 November 2022, Timed Online Auction ** READY LET 2,392 SQ FT NIGHTCLUB INVESTMENT. Street Access with stairs to fully fitted basement nightclub. FULLY LICENSED TO 3AM. Â£250,000 RENOVATION....",243000.0,,,"Future Property Auctions, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43917/127733597/43917_10653883_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Land for sale,https://www.rightmove.co.uk/properties/109799189#/?channel=COM_BUY,"Cumbernauld Road, Stepps, Glasgow, G33 6EY","Building site with original planning consent for Eight Apartments and associated parking, situated right in the heart of Stepps village and bound by the park on two sides. All apartments ha...",240000.0,,,"Town & Country Estate Agents, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71794/109799189/71794_332479_IMG_00_0001_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Land for sale,https://www.rightmove.co.uk/properties/109799189#/?channel=COM_BUY,"Maryland Gardens, Glasgow, G52","LAND FOR SALE. RENTING A POSSIBILITY. RESIDENTIAL DEVELOPMENT WITH PLANNING PERMISSION. OFFERS OVER £240,000 RARE OPPORTUNITY ON PRIME SOUTH SIDE LOCATION. ONE BLOCK OF EIGHT, TWO BED APPARTMENTS WITH PRIVATE ALLOCATED PARKING. SITE SIZE APPROX 1470 SQ M.",240000.0,15823,,"NEWHOME SCOTLAND LTD, Erskine",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/94k/93721/120336491/93721_GR_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
