title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
1 bedroom flat,https://www.rightmove.co.uk/properties/128371850#/?channel=STU_LET,"25 East Street, Bristol, Bristol","We are proud to present this superb one bedroom top floor flat in an excellent location within the Bedminster area, within the heart of Bristol. The flat will be furnished and the modern kitchen comes with a washing machine and fridge/freezer. This property is ideal for students, a couple or a ...",1200.0,277.0,24/10/2022,"HYBR, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247793/128013539/247793_3b984db5-8f70-47d8-abac-7e7ce24e384c_IMG_04_0000_max_476x317.jpeg,1,flat,"('51.442789950000005', '-2.594978866891894')",51.442789950000005,-2.594978866891894,,146
4 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128371850#/?channel=STU_LET,Keys Avenue - Horfield,"*Available for students and sharers* A large four bedroom house on a popular road in Horfield, close to local shops and amenities with good access to Gloucester Road, the MOD, Airbus, the M4, M5 and Filton parkway.The property is available late October and offered on a furnished or unfurnished ba...",2300.0,531.0,24/10/2022,"Ocean, Bishopston",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13286/85911024/13286_2648019_IMG_00_0002_max_476x317.jpeg,4,house,"('51.4936767', '-2.5778555')",51.4936767,-2.5778555,,146
7 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128371517#/?channel=STU_LET,"Bonnington Walk, Lockleaze, Bristol, BS7","Brand new to the market comes this outstanding, high spec student property. Situated in a superb location for UWE students with good transport links nearby, the property offers the very best in student accommodation. Available on a fully furnished basis, with appliances included and available sta...",5250.0,1212.0,24/10/2022,"CJ Hole, Bishopston",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9322/128346491/9322_BIL220380_L_IMG_00_0000_max_476x317.jpeg,7,house,"('51.4929354', '-2.5643417')",51.4929354,-2.5643417,,146
5 bedroom apartment,https://www.rightmove.co.uk/properties/128371517#/?channel=STU_LET,"Flat 1, Hotwells Road","STUDENT PROPERTY - Berkeley Estates & Management are pleased to offer for rent this well presented five double bedroom modern apartment situated in the heart of Hotwells. The property is situated within a great location for Bristol University, UWE Bower Ashton, City Centre and UWE Campus Bus ...",3250.0,750.0,24/10/2022,"Berkeley Estates and Management, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/48k/47439/125212073/47439_102083000517_IMG_03_0001_max_476x317.jpeg,5,apartment,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128364110#/?channel=STU_LET,"Filton Avenue, Filton, Bristol","4 x students or sharers considered! A well-presented & spacious four-bedroom, two-bathroom student house on Filton Avenue offered fully furnished and available from now for a tenancy of 8/9 months. ",2600.0,600.0,24/10/2022,"The Letting Game, Henleaze",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43695/128335997/43695_2650_IMG_00_0000_max_476x317.jpeg,4,house,"('51.4959679', '-2.5734557')",51.4959679,-2.5734557,,146
4 bedroom flat,https://www.rightmove.co.uk/properties/128364110#/?channel=STU_LET,"21 Beaufort Rd , Bristol, Bristol","We are proud to present this 4-bedroom maisonette available in this freehold semi-detached house over the ground floor in Clifton. This is for a group of 4 only. No individual lets. Facilities include a very large Kitchen/diner supplied with all white goods including 1 oven fridge, freezer, wa...",2704.0,624.0,21/10/2022,"HYBR, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247793/128054609/247793_dd54e7e9-9b48-487d-9b67-3f5d87a243d7_IMG_00_0000_max_476x317.jpeg,4,flat,"('51.46782685', '-2.5196054361746363')",51.46782685,-2.5196054361746363,,146
2 bedroom flat,https://www.rightmove.co.uk/properties/128000882#/?channel=STU_LET,"Sydenham Road, Cotham, Bristol, BS6",**THIS PROPERTY IS NOT AVAILABLE TO STUDENTS**Clifton Rentals are please to offer this modern 2 double bed flat is located in the popular area of Cotham,1500.0,346.0,21/10/2022,"Bristol Student Lets, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215690/128299259/215690_10101194_IMG_00_0000_max_476x317.jpeg,2,flat,"('51.4665369', '-2.594134')",51.4665369,-2.594134,,146
2 bedroom apartment,https://www.rightmove.co.uk/properties/128000882#/?channel=STU_LET,"Clarence Road, Kingswood, Bristol","2 DOUBLE BEDROOM GROUND FLOOR FLAT!! COMMUNAL GARDENS & PARKING!! OFFERED UNFURNISHED!! AVAILABLE NOVEMBER 2022!! 5 WEEKS DEPOSIT - £1,096.15!! LONG TERM TENANCY WITH AN INITIAL PERIOD OF 6 MONTHS!! COUNCIL TAX BAND - B!! Blue Sky are pleased to offer for rent this 2 bedroom ground floor flat on ...",950.0,219.0,20/10/2022,"Blue Sky Estate Agents, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51564/128257700/51564_31886000_IMG_00_0000_max_476x317.jpeg,2,apartment,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
10 bedroom house,https://www.rightmove.co.uk/properties/128013539#/?channel=STU_LET,"Pipe Lane, Bristol","This large 10-bedroom student home is in the heart of the city centre with easy access to both UoB, BIMM and transport links to UWE. Located just off the bottom of Park Street, it’s only a 5-10 minute walk to the Triangle and couldn’t be closer to shops/cafes/bars/clubs. There is a communal lo...",8233.0,1900.0,20/10/2022,"Flare, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229007/128255621/229007_S_EY8P71EP6M9L_IMG_00_0000_max_476x317.jpeg,10,house,"('51.4542846', '-2.5980544')",51.4542846,-2.5980544,,146
1 bedroom house share,https://www.rightmove.co.uk/properties/128013539#/?channel=STU_LET,"Monk Road, Bristol","University Student Room Let - Ideal for visiting Erasmus students or Post Graduate/Phd Students - Bristol SU Lettings are pleased to offer a room within this friendly family home with experienced host family who hosted from over 30 countries. The room is a double (One person per room only), rent ...",737.0,170.0,20/10/2022,"Bristol SU Lettings, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101767/128249822/101767_5915740_IMG_00_0000_max_476x317.jpeg,1,share,"('51.4796118', '-2.5948778')",51.4796118,-2.5948778,,146
4 bedroom terraced house,https://www.rightmove.co.uk/properties/85911024#/?channel=STU_LET,"North Street, Downend","Available now, this home is currently under full refurbishment and therefore the photos do not reflect the homes condition at the start of the tenancy. The home will be fully furnished throughout.",2200.0,508.0,20/10/2022,"Temple Homes, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/122k/121321/127922729/121321_102419000542_IMG_00_0000_max_476x317.jpeg,4,house,"('51.48107295', '-2.50866835810431')",51.48107295,-2.50866835810431,,146
10 bedroom house,https://www.rightmove.co.uk/properties/85911024#/?channel=STU_LET,"Fishponds Road, Bristol","This 10-bed, 3-bath student home located on the popular Fishponds Road is on a direct bus route to both Frenchay and Glenside campuses as well as easy links to the city centre. Situated near 3 main supermarkets, gym, cafes and multiple takeaway restaurants and seconds away from the new McDonalds....",8233.0,1900.0,20/10/2022,"Flare, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229007/128221124/229007_S_05K862Z269OM_IMG_00_0000_max_476x317.jpeg,10,house,"('51.4785974', '-2.5337481')",51.4785974,-2.5337481,,146
10 bedroom house,https://www.rightmove.co.uk/properties/128346491#/?channel=STU_LET,"Fishponds Road, Bristol","This 10-bed, 3-bath student home located on the popular Fishponds Road is on a direct bus route to both Frenchay and Glenside campuses as well as easy links to the city centre. Situated near 3 main supermarkets, gym, cafes and multiple takeaway restaurants and seconds away from the new McDonalds....",8233.0,1900.0,20/10/2022,"Flare, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229007/128221121/229007_S_EKK9M62WM827_IMG_00_0000_max_476x317.jpeg,10,house,"('51.4785974', '-2.5337481')",51.4785974,-2.5337481,,146
